Model,AUROC,AUPRC,F1,Precision,Recall,Accuracy
RandomForest,0.7302206239877601,0.04905011540210548,0.08963688397615985,0.05197929354445798,0.32532875929102345,0.8885101785547771
XGBoost,0.7285987918806074,0.058090760995831256,0.08401443316270873,0.04606352828591409,0.4770344959024204,0.8245031302552758
KAN,0.7049018919973116,0.04287853211303491,0.05227824596486216,0.02710652164712853,0.7324185248713551,0.5519731701591977
LSTM,0.6526783433152861,0.033182394173879456,0.05884431676983231,0.03129395218002813,0.4919001334095674,0.7345279858005062
